LAENDERCODE,SLOID_dienst,Name,IS_HALTESTELLE,Ortschaft,Gemeinde,Kanton,Longitude,Latitude,Verkehrsmittel,Service,SLOID_prm,Bezeichung,Bezeichnung Betrieblich,Status,Rollstuhl,VEHICLE_ACCESS,VALID_TO
85.0,ch:1:sloid:90101,"Wabern, Morillon",1.0,Wabern,Köniz,Bern,7.44349124339,46.92989904126,Bus,SVB Auto,ch:1:sloid:90101:0:2,,2,1,,"Stufenloser Zugang, niveaugleicher Ein-/Ausstieg.",2099-12-31
85.0,ch:1:sloid:90088,"Ostermundigen, Milchstrasse",1.0,Ostermundigen,Ostermundigen,Bern,7.48285625399,46.96057349322,Bus,SVB Auto,ch:1:sloid:90088:0:1,,1,1,,"Stufenloser Zugang, Ein-/Ausstieg durch Personalhilfestellung, keine Voranmeldung nötig.",2099-12-31
,,,,,,,,,,,ch:1:sloid:76646:0:17,,,1,,"Stufenloser Zugang, Ein-/Ausstieg durch Personalhilfestellung, keine Voranmeldung nötig.",2099-12-31
85.0,ch:1:sloid:76646,"Bern, Bahnhof",1.0,Bern,Bern,Bern,7.44020872063,46.94810537156,BusTram,SVB Auto,ch:1:sloid:76646:0:28,G,28,1,,"Stufenloser Zugang, Ein-/Ausstieg durch Personalhilfestellung, keine Voranmeldung nötig.",2099-12-31
85.0,ch:1:sloid:89267,"Köniz, Stapfen Friedhof",1.0,Köniz,Köniz,Bern,7.41933379852,46.92065923441,Bus,SVB Auto,ch:1:sloid:89267:0:1,,1,1,,"Stufenloser Zugang, Ein-/Ausstieg durch Personalhilfestellung, keine Voranmeldung nötig.",2099-12-31
85.0,ch:1:sloid:90129,"Bern Wankdorf, Bahnhof",1.0,Bern,Bern,Bern,7.46438638449,46.96659673983,BusTram,SVB Auto,ch:1:sloid:90129:0:2,C,2,1,,"Stufenloser Zugang, Ein-/Ausstieg durch Personalhilfestellung, keine Voranmeldung nötig.",2099-12-31
85.0,ch:1:sloid:89514,"Münsingen, Friedhof",1.0,Münsingen,Münsingen,Bern,7.55869907373,46.88114582926,Bus,SVB/kmb,ch:1:sloid:89514:0:2,,2,1,,Für Rollstühle nicht benutzbar.,2099-12-31
85.0,ch:1:sloid:88703,"Belp, Bützacker",1.0,Belp,Belp,Bern,7.51859432986,46.89018484313,Bus,SVB/kmb,ch:1:sloid:88703:0:1,,1,1,,Für Rollstühle nicht benutzbar.,2099-12-31
85.0,ch:1:sloid:90116,"Belp, Greulebach",1.0,Belp,Belp,Bern,7.50554165802,46.88190847102,Bus,SVB/kmb,ch:1:sloid:90116:0:1,,1,1,,Für Rollstühle nicht benutzbar.,2099-12-31
,,,,,,,,,,,ch:1:sloid:79021:0:2,,,1,,Für Rollstühle nicht benutzbar.,2099-12-31
