SLOID,name,kanton,Longitude,Latitude
ch:1:sloid:81666,"Bonstetten, Lätten",ZH,8.45579063163,47.31889987056
,"Kössen, Hüttwirt",,12.416613,47.662038
,"Kössen, Gh Sonneck",,12.389358,47.662812
,"Kössen, Bichlach",,12.371122,47.652139
,"Kolsassberg, Kindergarten",,11.646496,47.291099
,"Kolsassberg, Abzw. Merans",,11.639022,47.295328
,"Kolsass, Mühlbach",,11.641079,47.301852
,"Kolsass, Archenweg/B171",,11.630497,47.301365
,"Kolsass, Abzw. Kolsassberg",,11.64028,47.301018
,"Kirchbichl, Hans Neuner Str.",,12.09348,47.496115
,"Kirchbichl, Glaurach",,12.106272,47.526672
,"Kirchbichl, Bichlwang",,12.096732,47.524482
,"Kirchbichl, Abzw. Bad Häring",,12.097693,47.518658
,"Kematen in Tirol, MPREIS",,11.267362,47.252785
,"Kematen in Tirol, Kirche",,11.272015,47.254169
,"Kauns, Unterdorf",,10.686646,47.077915
,"Kauns, Gh Alpenrose",,10.721501,47.075009
,"Kaunertal, Weisssee",,10.712419,46.872994
,"Kaunertal, Vergötschen",,10.752511,47.041546
,"Kaunertal, Stauwurzel",,10.739638,46.908974
,"Kaunertal, Oberbirg",,10.72398,46.88797
,"Kaunertal, Krumpgampen",,10.710703,46.878508
,"Kaunertal, Hallenbad",,10.747615,47.031634
,"Kaunertal, Grasse",,10.743734,47.023698
,"Kaunertal, Gepatschhaus",,10.739826,46.901069
,"Kaunertal, Abzw. Riffeltal",,10.712104,46.886478
,"Kaunerberg, Schlossbach",,10.704127,47.083377
,"Kastengstatt, Fa. Höger",,12.081343,47.507712
,"Kartitsch, Sulzenbach",,12.518616,46.72133
,"Kartitsch, Monegge",,12.47141,46.739962
,"Karrösten, Siedlung",,10.767935,47.228505
,"Kappl, Unterbichl",,10.393481,47.072121
,"Kappl, Plattwies",,10.391451,47.071295
,"Kappl, Pirchegg",,10.421329,47.07926
,"Kappl, Lochau",,10.380042,47.062576
ch:1:sloid:95056,"Orbe, Fleurs-de-Lys",VD,6.52859614145,46.71715338801
ch:1:sloid:94923,"Boltigen, Eschi Dorf",BE,7.37429693226,46.61188400963
ch:1:sloid:94868,"Boudry, Sur-la-Forêt",NE,6.83425650776,46.95720067789
ch:1:sloid:94867,"Boudry, gare",NE,6.83452312055,46.95919007645
ch:1:sloid:94866,"Boudry, Conrardes",NE,6.84064411347,46.9569733995
ch:1:sloid:94859,"Steinach, Kirche",SG,9.43992612268,47.50322982373
ch:1:sloid:94845,"Riva S. Vitale, Piazza Scuole",TI,8.97398902542,45.90352593935
ch:1:sloid:94785,"Grubenwald, Cholplatz",BE,7.38820331517,46.57996589471
ch:1:sloid:94639,"Lajoux JU, Le Bois des Joux",JU,7.10952465599,47.26640201303
ch:1:sloid:93543,"Cortaillod, Buffet d'un Tram",NE,6.85334877116,46.94732409315
ch:1:sloid:93491,"Riva S. Vitale, Poiana (bus)",TI,8.95498459147,45.93252964295
ch:1:sloid:92232,"Savigny, Palaz",VD,6.7350807571,46.54146929758
ch:1:sloid:92231,"Savigny, Grange-la-Ville",VD,6.74817587466,46.552236912
ch:1:sloid:92224,"Ropraz, Corcelles-Jorat",VD,6.74516036921,46.59108992518
,"Strengen, Steigsiedlung",,10.476018,47.121332
,"Strengen, Perflör",,10.467475,47.12734
,"Strengen, Lorett",,10.472533,47.130872
,"Strengen, Johannesen",,10.47362,47.127383
,"Strengen, Blasgen",,10.477132,47.127609
,"Steinberg/Rofan, Waldfrieden",,11.754617,47.540839
,"Steinberg/Rofan, Unterberg",,11.78542,47.521091
,"Steinberg/Rofan, Ortsbeginn",,11.781962,47.522886
,"Steinberg/Rofan,Langlaufzentr.",,11.785663,47.520332
,"Steinberg/Rofan, Kirche",,11.800809,47.513774
,"Steinberg/Rofan, Waldhäusl",,11.788187,47.52032
,"Steinach in Tirol, Gh Wolf",,11.485365,47.070714
,"Steinach in Tirol, Bergeralm",,11.460635,47.087524
,"Steeg, Prenten",,10.268642,47.246351
,"Steeg, Kirche",,10.28916,47.240247
,"Steeg, Hinterellenbogen",,10.273843,47.244095
,"Steeg, Gehren",,10.191674,47.261839
,"Steeg, Dorf",,10.294289,47.243247
,"Steeg, Dickenau Brücke",,10.29198,47.241235
,"Stanzach, Blockau",,10.563011,47.387044
,"Stanz/Landeck, Siedlung",,10.551836,47.143338
,"Stanz/Landeck, Lochbödele",,10.557612,47.144805
,"Stanz/Landeck, Köterbach",,10.545161,47.142953
,"Stanz/Landeck, Dorf",,10.552168,47.14822
,"Stans bei Schwaz, Gewerbe",,11.719933,47.363259
,"St.Veit i. D., Ratschitsch",,12.431884,46.926486
,"St.Veit i. D., Osing",,12.408654,46.917952
,"St.Veit i. D., Mentler Boden",,12.398691,46.917418
,"St.Veit i. D., Kirche",,12.423584,46.924897
,"St.Veit i. D., Feld",,12.384516,46.915731
,"St.Veit i. D., Bruggen",,12.376736,46.915393
,"St.Veit i. D., Abzw. Moos",,12.440014,46.926161
,"St.Ulrich (A), Strasserwirt",,12.580061,47.511747
,"St.Ulrich (A), Pillersee",,12.566991,47.540172
,Pfeiffermühle,,10.430896,47.569818
,"Pfafflar Boden, Dorf",,10.605771,47.28358
ch:1:sloid:95676,"Les Bois, église",JU,6.90484340916,47.17646760229
ch:1:sloid:94924,"Weissenbach, Dorf",BE,7.37487791764,46.60635207607
ch:1:sloid:94869,"Boudry, Vauvilliers",NE,6.8342164828,46.95259480463
ch:1:sloid:94865,"Boudry, Cèdres",NE,6.83214150273,46.95485966057
ch:1:sloid:94864,"Boudry, Baconnière",NE,6.83665717469,46.95401097051
ch:1:sloid:94788,"Zweisimmen, Forellensee",BE,7.37559539585,46.56259803771
ch:1:sloid:94787,"Zweisimmen, Burg Mannried",BE,7.38309895917,46.57072502039
ch:1:sloid:94786,"Zweisimmen, Spitz Mannried",BE,7.37762405482,46.56770865036
,"Oberperfuss, Aigen",,11.242056,47.245431
,"Obernberg/Brenner, Volksschule",,11.419114,47.016147
,"Obernberg/Brenner, Tribulaun",,11.44592,47.022546
,"Obernberg/Brenner, Innertal",,11.408227,47.012018
,"Obernberg/Brenner, Gereit 58",,11.405559,47.010273
,"Obernberg/Brenner, Aussertal",,11.430119,47.0184
,"Oberlangkampfen, Volksschule",,12.089195,47.52433
,"Oberlangkampfen, Innbrücke",,12.091288,47.5214
,"Oberhofen/Inntal, Ried",,11.087367,47.299458
,"Oberdrum, Baumgartner",,12.73485,46.847029
,"Oberburgfrieden, Oberforcher",,12.709383,46.797111
,"Nösslach, Zolerhof",,11.466968,47.03126
,"Nösslach, Hölden",,11.474576,47.042384
,"Nösslach, Glasenhof",,11.479508,47.051499
,"Nösslach, Gh Hummler",,11.471953,47.066571
,"Nikolsdorf, Nörsach",,12.92028,46.772162
,"Niederndorferberg, Hausern",,12.238755,47.65226
,"Niederndorferberg, Hatzenstätt",,12.252922,47.673459
,"Niederndorferberg, Feuerwehr",,12.25241,47.667301
,"Niederndorferberg, Eiberg",,12.231254,47.662322
,"Niederndorf, Sebi",,12.233707,47.647648
,"Niederndorf, Postamt",,12.213881,47.649736
,"Niederndorf, Gewerbezentrum Au",,12.1971,47.648357
,"Niederndorf, Bruckhäusl",,12.23014,47.647473
,"Niederbreitenbach, Schönwörth",,12.083446,47.537941
,"Niederbreitenbach, MPREIS",,12.091683,47.534253
,"Niederbreitenbach, Kreis",,12.093857,47.534902
,"Niederbreitenbach, Kapelle",,12.079673,47.537455
,"Neu-Terfens, Weitental",,11.636974,47.319674
,"Neu-Terfens, Abzw. Waldhof",,11.63506,47.318828
,"Neustift, Volderau",,11.254543,47.068028
,"Neustift, Sulzenauhütte",,11.181842,47.015197
,"Neustift, Stubaier Gletscher",,11.155576,47.011112
,"Neustift, Scheibe",,11.300806,47.108506
,"Kappl, Holdernach Siedlung",,10.411133,47.070261
,"Kappl, Höferau",,10.366774,47.058029
,"Kappl, Hof",,10.388711,47.070139
,"Kappl, Gewerbepark",,10.333015,47.039458
,"Kappl, Abzw. Niederhof",,10.379,47.064277
,"Kappl, Abzw. Holdernach",,10.418382,47.071417
,"Kapfing, Schöne Aussicht",,11.858274,47.332327
,"Kapfing, Kapfinger Platz",,11.854932,47.330628
,"Kapfing, Dorf",,11.855354,47.333739
,"Kals, Taurer",,12.634023,47.02529
,"Kals, Staniska",,12.610766,46.947887
,"Kals, Pradell",,12.640473,46.989436
,"Kals, Oberpeischlach",,12.595413,46.935467
,"Kals, Lesacherhof",,12.639835,46.984289
,"Kals, Haslach",,12.620943,46.961137
,"Kals, Grossdorf",,12.637985,47.008135
,"Kals, Gemeindeamt",,12.64509,47.001886
,"Kals, Fritz",,12.660263,47.008453
,"Kals, Burg",,12.642036,47.015601
,"Kals, Arnig",,12.63211,46.979398
,"Kaisers, Edelweisshaus",,10.301278,47.216108
,"Juns, Neuhäusl",,11.70936,47.138407
,"Juns, Klausboden",,11.718191,47.143051
,"Juns, Greut",,11.711974,47.139672
,"Juns, Dr. Peer",,11.714741,47.140803
,"Jerzens, Wiesle",,10.774753,47.126172
,"Jerzens, Hotel Alpenfriede",,10.74801,47.151226
,"Jerzens, Haag",,10.750373,47.154512
,"Jerzens, Gemeindeamt",,10.746339,47.150291
,"Jerzens, Fischteich",,10.743662,47.144829
,"Jerzens, Abzw. Kienberg",,10.749986,47.141524
,"Jenbach, Ledergasse",,11.770679,47.397529
,"Jenbach, Schalserstrasse 7",,11.774659,47.391472
,"Kappl, Obermühl",,10.385989,47.067948
,"Lahrndorf b.Garsten, Parkplatz",,14.376679,47.994539
,"Kals, Lucknerhaus",,12.689197,47.021671
,"Innsbruck, Hochhaus",,11.43232,47.275273
,"Bad Häring, Reha-Zentrum",,12.101834,47.503392
ch:1:sloid:91527,"Ascona, Parco dei Poeti",TI,8.77348577565,46.15694430592
ch:1:sloid:10683,Châtelaine Sud (saut km),GE,6.10713332879,46.21353322491
ch:1:sloid:10852,Grenze Spissermühle,GR,10.42209987114,46.96044847886
ch:1:sloid:10847,Grenze Campocologno,GR,10.14549520675,46.23032704929
,"Steinefrenz, Ort",,7.93328,50.45927
,"Darmstadt, Messeler-Park-Str.",,8.659004,49.93163
,"Weddel (Braunschw), Bauernstr.",,10.621617,52.26983
,"Blankenfelde, Mozartweg",,13.414483,52.337318
,"Caputh, Schule",,12.99335,52.346705
,"Walsleben(Neurup), Schule",,12.667752,52.941475
,"Seddin, Waldstrasse",,12.991705,52.287389
,"Hagebök, Neubau",,11.615594,53.960633
ch:1:sloid:92194,"Pully, Ravessoud",VD,6.696913209,46.5391751409
ch:1:sloid:92166,"Moudon, Verger",VD,6.79861450058,46.6665909751
ch:1:sloid:92165,"Moudon, Sorbiers",VD,6.79530861003,46.66220035476
ch:1:sloid:92144,"Montpreveyres, Riau-Graubon",VD,6.72420639454,46.57509120428
ch:1:sloid:92117,"Lausanne, Ste-Catherine",VD,6.70864684705,46.57097103817
