SLOID,status
ch:1:sloid:90015:0:2,0
ch:1:sloid:79896:0:1,0
ch:1:sloid:79896:0:2,0
ch:1:sloid:76646:0:3,0
ch:1:sloid:7110:0:17,0
ch:1:sloid:90075:0:2,0
ch:1:sloid:90029:0:2,0
ch:1:sloid:90022:0:2,0
ch:1:sloid:88562:0:2,0
ch:1:sloid:90020:0:1,0
ch:1:sloid:90021:0:2,0
ch:1:sloid:90119:0:2,0
ch:1:sloid:88999:0:2,0
ch:1:sloid:90034:0:1,0
ch:1:sloid:90032:0:1,0
ch:1:sloid:90038:0:2,0
ch:1:sloid:89999:0:4,0
ch:1:sloid:90067:0:2,0
ch:1:sloid:89996:0:4,0
ch:1:sloid:71438:0:1,0
ch:1:sloid:71439:0:1,0
ch:1:sloid:7982:0:1,0
ch:1:sloid:90031:0:1,0
ch:1:sloid:71413:0:1,0
ch:1:sloid:90007:0:2,0
ch:1:sloid:82871:0:11,0
ch:1:sloid:90017:0:1,0
ch:1:sloid:90101:0:2,1
ch:1:sloid:90088:0:1,1
ch:1:sloid:95138:0:2,0
ch:1:sloid:90108:0:2,0
ch:1:sloid:91757:0:2,0
ch:1:sloid:90110:0:2,0
ch:1:sloid:76646:0:17,1
ch:1:sloid:76646:0:28,1
ch:1:sloid:89267:0:1,1
ch:1:sloid:90129:0:2,1
ch:1:sloid:6398:1:1,0
ch:1:sloid:88258:0:1,0
ch:1:sloid:83316:0:1,0
ch:1:sloid:90116:0:2,0
ch:1:sloid:89514:0:2,1
ch:1:sloid:88259:0:2,0
ch:1:sloid:88703:0:1,1
ch:1:sloid:78952:0:1,0
ch:1:sloid:90116:0:1,1
ch:1:sloid:88254:0:1,0
ch:1:sloid:89514:0:2,0
ch:1:sloid:79021:0:2,1
ch:1:sloid:78929:0:2,1
ch:1:sloid:78954:0:2,1
ch:1:sloid:71629:0:1,1
ch:1:sloid:88904:0:3,1
ch:1:sloid:87776:0:2,0
ch:1:sloid:78970:0:2,1
ch:1:sloid:79020:0:1,0
ch:1:sloid:78967:0:1,0
ch:1:sloid:78967:0:1,1
ch:1:sloid:79011:0:2,0
ch:1:sloid:77523:1:50,0
ch:1:sloid:3674:0:,0
ch:1:sloid:30681:0:1,0
ch:1:sloid:8497:0:1,1
ch:1:sloid:30406:0:956981,0
ch:1:sloid:31480:0:287586,0
ch:1:sloid:91097::21,0
ch:1:sloid:79189::50,0
ch:1:sloid:76079::50,0
ch:1:sloid:80912::50,0
ch:1:sloid:91260::21,0
ch:1:sloid:76107::50,0
ch:1:sloid:76110::50,0
ch:1:sloid:91392::11,0
ch:1:sloid:91272::21,0
ch:1:sloid:30812::12,0
ch:1:sloid:88552::13,0
ch:1:sloid:87422::50,0
ch:1:sloid:87652::50,0
ch:1:sloid:87654::50,0
ch:1:sloid:76859:1:2,0
